front,back,hint,publishedAt
verify,проверить конфигурацию,проверить конфигурацию; Example: Verify the network configuration,2026-03-15T18:50:01.564Z
Purpose,Цель,,2026-02-27T09:54:34.905Z
route,маршрут,маршрут,2025-07-02T14:50:38.181Z
chance,шанс,,2026-03-31T01:11:16.578Z
I type,Я напишу,I type exit to return to privileged EXEC mode,2026-03-23T00:43:43.469Z
management,управление,управление,2025-07-02T14:43:28.581Z
decade,десятилетие,десятилетие — The 1990s were a great decade,2025-10-05T19:14:37.211Z
neck,шея,"шея; body part used for chokes; Example: \Control the neck.\"" — Контролируй шею; нюанс: ключевая точка контроля""",2025-11-23T20:32:36.955Z
meta-analysis,Метанализ,Метанализ; объединяет множество исследований статистически; Example: Summarizes results from 50 papers,2025-12-10T03:14:17.308Z
bench,скамейка,This is a bench,2026-03-31T22:28:22.218Z
famous,знаменитый,,2025-12-30T05:11:38.859Z
to lose,потерять,I always lose my keys,2025-10-14T21:53:31.519Z
decision,решение,,2025-12-28T01:52:10.153Z
sunset,закат,закат — The sky was beautiful at sunset,2025-10-05T19:14:30.891Z
winner,победитель,,2026-02-28T05:39:23.690Z
place,место,"место, позиция; The number is in the unit place. — Число находится в разряде единиц",2025-12-17T15:58:38.175Z
legacy,устаревший,устаревший,2025-07-02T14:41:28.552Z
one of my friends,один из моих друзей,"После \one of\"" всегда множественное число. One of my friends knows 5 languages. — Один из моих друзей знает 5 языков.""",2026-02-27T06:16:05.365Z
Shoes,Обувь,Shoes,2026-03-07T15:00:10.193Z
router,маршрутизатор,маршрутизатор; пересылает пакеты между сетями; Example: The router forwards packets to another network,2026-03-15T18:38:54.939Z
subnet,подсеть,подсеть; Example: The network is divided into subnets,2026-03-15T18:45:23.363Z
"couple methods,",несколько методов,"There are a couple methods, but I’m going to talk about connecting via the console port",2026-03-22T20:24:08.067Z
clothes are awful,Одежда ужасная,- Hector's clothes are awful,2026-03-07T14:54:25.268Z
wide area network,глобальная сеть,глобальная сеть; Example: The internet is a wide area network,2026-03-15T18:44:52.506Z
against,против,The team played against their biggest rivals,2025-12-28T01:51:46.068Z
careless,небрежный,You read the story carefully,2026-03-30T16:25:54.662Z
motorway,автомагистраль,автомагистраль /ˈməʊtəˌweɪ/; We drove on the motorway. — Мы ехали по автомагистрали,2025-12-23T01:52:05.813Z
nearest,ближайший,,2026-03-30T00:25:56.842Z
finally,в конце концов,в конце концов,2025-12-31T01:05:07.247Z
pass the exam,сдать экзамен,,2026-03-22T20:12:43.197Z
now,сейчас,сейчас — I’m busy now,2025-10-05T19:14:10.363Z
to teach,учить,I want to teach my little brother how to ride a bike,2025-10-14T21:51:11.550Z
blind study,Метод слепого исследования,Метод слепого исследования; участники/исследователи не знают группы; Example: The blind study prevents bias in responses,2025-12-10T03:14:10.484Z
floor,этаж,"the same area, like a bunch of computers on one floor of an office, or perhaps an entire",2026-03-26T17:14:34.050Z
a heel,пятка,,2026-04-07T14:38:20.120Z
forever,навсегда,навсегда — I’ll love you forever,2025-10-05T19:14:21.823Z
terminal,терминал,терминал,2025-07-02T14:53:09.812Z
road signs,дорожные знаки,дорожные знаки /roʊd saɪnz/; Follow the road signs. — Следуй дорожным знакам,2025-12-23T01:52:10.333Z
or shut it down,или выключил его,"If you reload the device, or shut it down and then turn it on later, the startup-config",2026-03-23T00:49:47.175Z
literature review,Обзор литературы,Обзор литературы; анализ существующих исследований; Example: The literature review identifies key studies,2025-12-10T03:14:08.224Z
local,локальный,локальный,2025-07-02T14:42:07.046Z
June,июнь,,2025-07-28T17:01:21.271Z
issue,проблема,,2025-12-28T01:50:41.222Z
adjacent,соседний,"смежный, соседний; Adjacent sides of a square. — Смежные стороны квадрата",2025-12-17T16:00:02.387Z
Bulgaria Bulgarian,Болгария Болгарский,,2025-12-14T21:54:26.467Z
Audience,Аудитория,,2026-02-27T09:54:39.698Z
contains,содержит,"содержит, включает в себя; The council contains ten members. — В составе совета десять человек",2025-12-17T16:05:27.906Z
simple cycle,Простой цикл,Простой цикл — без повторов внутри цикла; cycle with no vertex repetition; пример: “A→B→C→A is simple.”,2025-12-03T22:30:20.639Z
England English,Англия Английский,,2025-12-14T21:56:31.370Z
mixed martial arts,смешанные единоборства,"смешанные единоборства; full-combat sport; Example: \MMA fighters adapt.\"" — Бойцы MMA адаптируются; нюанс: смесь ударов и борьбы""",2025-11-23T20:33:11.190Z
configure,настраивать устройство,настраивать устройство; Example: Configure the router interface,2026-03-15T18:48:14.296Z
object,объект,объект,2025-07-02T14:45:46.723Z
Sorry for lying,Извините за ложь,,2025-12-27T23:52:41.033Z
Switzerland Swiss,Швейцария Швейцарский,,2025-12-14T22:00:36.579Z
foreign languages,иностранные языки,,2026-02-27T06:24:05.076Z
complete course,полный курс,,2026-03-28T14:20:54.865Z
to clean,чистить,They are cleaning the park this weekend,2025-10-14T21:51:56.169Z
a wound,рана,,2026-04-07T14:43:05.818Z
list,список,"Список (изменяемая последовательность). Создаётся: x = [1, 2, 3]. Можно хранить разные типы данных. Позволяет добавлять и удалять элементы",2025-11-12T16:46:20.641Z
shortage,нехватка,нехватка; shortage = insufficient amount; Example: Shortage of addresses — Нехватка адресов,2025-12-01T21:59:05.208Z
password,пароль,пароль,2025-07-02T14:47:06.464Z
separate,отдельный,console port is separate from the RJ45 console port,2026-03-26T01:27:55.242Z
Ireland Irish,Ирландия Ирландский,,2025-12-14T21:57:04.348Z
Wednesday,среда,,2025-07-28T17:01:19.379Z
The judge,Судья,,2026-03-30T22:26:44.539Z
arranged,упорядоченный,"организованный, расположенный; The chairs are arranged in a circle. — Стулья расставлены по кругу",2025-12-17T14:58:03.400Z
to draw,рисовать,I can draw a picture,2025-10-14T21:51:05.739Z
midnight,полночь,полночь — They arrived at midnight,2025-10-05T19:14:07.085Z
enable,включить функцию,включить функцию; Example: Enable the interface,2026-03-15T18:50:17.608Z
network appliance,сетевое устройство,"usually have a hardware firewall, a separate network appliance, which helps protect the",2026-03-26T16:45:39.060Z
whole word,целое слово,,2026-03-23T00:00:37.271Z
microphone,микрофон,микрофон,2025-07-02T14:44:28.595Z
instead / instant,"namiesto, мгоновенно","So, really you should always use the enable secret, instead of the enable password, as",2026-03-26T01:12:53.634Z
below the belt,ниже пояса,"ниже пояса; illegal strike; Example: \It's below the belt.\"" — Это удар ниже пояса; нюанс: термин из бокса""",2025-11-23T20:32:48.892Z
to sell,продать,He sells drinks and snacks,2025-10-14T21:53:08.530Z
Logical order,Логическая последовательность,,2026-02-27T09:55:25.625Z
enter into,войти во что-то обстрактное,To enter into a discussion,2026-03-31T15:24:52.466Z
As necessary,По мере необходимости,The teacher will provide extra help as necessary,2026-03-16T16:57:56.231Z
week,неделя,неделя — I go to the gym every week,2025-10-05T19:14:36.689Z
exactly,точно,,2026-02-27T06:23:46.555Z
Sunday,воскресенье,,2025-07-28T17:01:20.217Z
staff,сотрудники,,2026-03-23T18:07:09.499Z
Mountain peak,Горная вершина,,2026-03-01T12:44:42.776Z
season,сезон,сезон — Spring is my favorite season,2025-10-05T19:14:38.302Z
younger and older brother,младший и старший брат,,2026-04-25T15:07:15.197Z
Carry,"везти, нести",,2026-03-31T15:54:06.941Z
transmission,передача,передача данных; Example: Data transmission takes time,2026-03-15T18:40:44.876Z
independent,независимый,независимый,2025-07-02T14:39:08.201Z
question mark,вопросительный знак,You can use a question mark to view the commands that are available to you,2026-03-22T23:16:00.528Z
to laugh,смеяться,They laughed at her jokes,2025-10-14T21:52:49.046Z
buddy,друг,Doris has a buddy Marlene but she forgot him because she has memory problems,2026-04-02T11:46:27.593Z
Relative pronouns,относительное местояимение,,2026-03-16T18:05:47.453Z
let's begin again,давай начнем снова,,2026-03-07T14:52:07.085Z
NumPy array,массив,"Массив NumPy. Создаётся: import numpy as np; x = np.array([1, 2, 3]). Быстрый и оптимизированный для научных расчётов",2025-11-12T16:47:32.881Z
proprietary,Проприетарный,"The number 7 means it is using Cisco’s proprietary encryption algorithm, from the service password-encryption",2026-03-26T00:30:10.574Z
decode,декодировать,декодировать,2025-07-02T14:25:53.134Z
static route,статический маршрут,статический маршрут; Example: The admin configured a static route,2026-03-15T18:46:35.133Z
later,позже,позже — I’ll call you later,2025-10-05T19:14:10.310Z
late payment,просроченный платёж,,2026-03-23T18:05:48.575Z
happy,Счастливый,Счастливый; feeling or showing joy; пример: “He is happy today.”,2025-12-04T00:48:00.157Z
function,функция,функция,2025-07-02T14:36:28.697Z
owner,владелец,владелец; owner = registered holder; Example: Domain owner updates info — Владелец домена обновляет данные,2025-12-01T21:59:06.725Z
any of them,любой из них,,2025-12-28T01:54:41.095Z
gateway,шлюз,шлюз; устройство для связи разных сетей; Example: The gateway connects the local network to the internet,2026-03-15T18:39:48.533Z
medium,средний,"носитель, среда",2025-07-02T14:44:16.733Z
This soldier is wounded,Этот солдат ранен,This soldier is wounded,2026-03-31T22:45:54.255Z
process,процесс,процесс,2025-07-02T14:48:43.961Z
moment,момент,"момент — Wait a moment, please",2025-10-05T19:13:32.787Z
allows,позволяет,This is a convenient trick that allows you to execute privileged exec mode commands like,2026-03-26T01:04:58.302Z
agreement,соглашение,соглашение; agreement = shared rules; Example: Protocol agreement is required — Нужен консенсус по протоколу,2025-12-01T21:58:57.172Z
supplementary materials,дополнительные материалы,"In addition to the quiz we just did, there are a couple other supplementary materials",2026-03-26T01:41:39.662Z
a forehead,лоб,,2026-04-07T14:37:37.935Z
filesystem,файловая система,файловая система,2025-07-02T14:35:19.190Z
such,такой,"Такой, подобный; used to emphasize quality; пример: “Such a nice day.”",2025-12-07T15:57:26.833Z
to enter,"войти, ввести",Please knock before entering,2025-10-14T21:52:03.005Z
explaining,обяснение,"Before explaining hexadecimal, I want to make sure we all understand how the decimal system",2026-03-29T21:55:57.338Z
to choose/to change,выбрать/изменить,,2025-12-31T01:03:33.618Z
to respond,реагировать,"реагировать — reply to network request, The server does not respond — server nereaguje (сервер не отвечает)",2026-04-27T18:22:52.821Z
picture,изображение,изображение,2025-07-02T14:47:10.218Z
in the past,в прошлом,"в прошлом — In the past, people wrote letters",2025-10-05T19:14:17.622Z
to live,жить,Where do you live?,2025-10-14T21:52:19.566Z
total amount,общая сумма,,2026-03-23T18:08:21.352Z
virtual,виртуальный,виртуальный,2025-07-02T14:54:43.730Z
operation,операция,операция,2025-07-02T14:46:08.407Z
to read,читать,What are you reading?,2025-10-14T21:50:40.123Z
switch,коммутатор,коммутатор; соединяет устройства в локальной сети; Example: The switch connects computers in the office,2026-03-15T18:39:34.989Z
to stay,остаться,Can you stay after work to play tennis?,2025-10-14T21:52:23.964Z
January,январь,,2025-07-28T17:01:20.408Z
session,сесия,сессия; session = communication period; Example: Start a new session — Начни новую сессию,2025-12-01T21:59:07.859Z
She is being quiet,она вела себя тихо,,2026-01-04T01:15:05.638Z
Fall,Осень,Fall,2026-03-31T22:34:41.486Z
boring,скучно,,2025-12-30T05:01:02.008Z
Thousands of birds,Тысячи птиц,,2026-03-31T18:50:09.971Z
to ride,ездить,I ride a horse,2025-10-14T21:52:00.434Z
Turn off,Выключить,,2026-03-25T23:47:32.037Z
until,до определённого момента,"до определённого момента /ʌnˈtɪl/; Wait until I come. — Жди, пока я не приду",2025-12-23T01:52:03.722Z
link,ссылка,"ссылка, связь",2025-07-02T14:41:50.852Z
to let,позволять,Can you let me know when you arrive?,2025-10-14T21:53:23.334Z
remain,останется,will remain encrypted,2026-03-26T01:17:20.305Z
etc,и т.д,"switch to router, or router to router, etc",2026-03-28T14:42:21.689Z
Transition words,Связующие слова,,2026-02-27T09:55:22.264Z
healthy,здоровый,,2026-04-07T14:43:24.490Z
sometimes,иногда,иногда — We sometimes play tennis,2025-10-05T19:14:13.153Z
You won't believe it,ты не поверишь,,2026-03-29T15:13:18.856Z
presentation,презентация,презентация,2025-07-02T14:48:13.902Z
network,сеть,сеть,2025-07-02T14:45:07.624Z
"Elbow, Knee","Локоть, Колено",,2026-03-01T12:20:21.390Z
"affected,",подвержен влиянию,"Once again, however, the enable secret will not be affected, it is always encrypted",2026-03-26T01:16:32.795Z
multiple,"множественный, несколько","множественный, несколько; The project has multiple objectives. — Проект имеет несколько целей",2025-12-17T16:05:02.485Z
experimental research,Экспериментальное исследование,Экспериментальное исследование; исследователь вмешивается; Example: Experimental research tests causal effects,2025-12-10T03:14:12.262Z
directory,"каталог, директория","каталог, директория",2025-07-02T14:31:45.928Z
last year,в прошлом году,"в прошлом году — Last year, we traveled a lot",2025-10-05T19:14:28.367Z
"lost (гл., past от to lose)",потерял,потерял; past of “to lose”; Example: He lost his keys. (Он потерял ключи.) /lɒst,2025-12-07T18:15:54.592Z
had to be,"нужно было, обязан был быть","нужно было, обязан был быть /hæd tə biː/; The meeting had to be postponed. — Встречу пришлось перенести",2025-12-23T01:52:03.961Z
browser,браузер,браузер; browser = web viewer; Example: Open it in the browser — Открой в браузере,2025-12-01T21:58:36.862Z
each day,каждый день,каждый день — Each day brings something new,2025-10-05T19:14:25.928Z
reply,отвечать,The ARP reply is unicast,2026-03-30T23:56:42.798Z
transmit,передавать данные,передавать данные; Example: The cable transmits signals,2026-03-15T18:48:51.805Z
to celebrate New Year,отпраздновать Новый год,,2025-12-31T01:04:04.472Z
MAC Address Table,Таблица MAC-адресов,,2026-04-03T17:45:17.166Z
statement,утверждение,,2026-02-27T10:27:41.552Z
represents,представляет,represents?,2026-03-26T16:54:48.232Z
intolerant,нетерпимый,The seahorse has a water intolerant,2026-04-02T11:46:13.169Z
English,американский английский,американский английский,2025-07-02T14:33:35.941Z
guard,защита,"защита / гард; defensive position; Example: \Stay in guard.\"" — Оставайся в гарде; нюанс: в BJJ — конкретная позиция""",2025-11-23T20:32:51.394Z
to emerge,возникнуть,,2026-04-18T01:03:23.035Z
she was released,она была освобождена,,2025-12-30T05:05:02.188Z
a mustache,усы,,2026-04-07T14:38:58.488Z
coat,пальто,,2026-03-15T18:10:17.490Z
stands for,для обривиатур,MAC stands for media access control,2026-03-29T19:10:45.005Z
module,модуль,модуль,2025-07-02T14:44:40.891Z
give up,брость,брость He gave up smoking,2025-12-25T19:31:12.888Z
By law,по закону,,2026-03-31T17:55:20.225Z
to be on business,быть в командировке,,2025-12-24T02:01:31.675Z
Socket,Розетка,,2026-04-01T14:06:09.934Z
dirt,грязь,"And this is: dirt, dust, crumbs, mold",2026-03-31T22:48:29.397Z
to smoke,курить,He doesn't smoke because it’s bad for his health,2025-10-14T21:51:55.625Z
electricity consumption,потребление электричества,,2026-04-18T01:05:19.170Z
to repeat,повторить,Can you repeat it after me?,2025-07-02T15:45:27.007Z
group of people,группа людей,This is a group of people,2026-03-31T22:29:00.687Z
to close,закрыть,Close your eyes - I've got a surprise for you,2025-10-14T21:52:16.627Z
Halve,делить попалам,,2026-03-30T14:01:08.406Z
default gateway,шлюз по умолчанию основной маршрутизатор сети,шлюз по умолчанию основной маршрутизатор сети; Example: The PC sends traffic to the default gateway,2026-03-15T18:46:14.637Z
piece,кусок,,2026-03-31T18:32:40.056Z
programmer,программист,программист,2025-07-02T14:48:56.907Z
to adjust,настроить,,2026-04-27T18:22:32.528Z
version,версия,версия,2025-07-02T14:54:38.191Z
after,после,"после — After work, I go home",2025-10-05T19:14:11.821Z
Austria Austrian,Австрия Австрийский,,2025-12-14T21:53:34.109Z
to be,быть,I am a student,2025-10-14T21:50:37.829Z
element,элемент,элемент,2025-07-02T14:32:46.052Z
decide,решить,,2025-12-28T01:52:17.411Z
toy,Игрушка,Игрушка; a thing children play with; пример: “The toy is on the table.”,2025-12-04T00:39:02.670Z
Enterprise,Предприятие,Let’s say this is a network for an Enterprise,2026-03-26T16:58:05.652Z
logic,логика,логика,2025-07-02T14:42:23.641Z
anOther,другой дополнительный объект,,2026-03-31T18:31:59.905Z
a husband,Муж,,2026-04-07T14:34:08.940Z
some of them,некоторые из них,,2026-04-15T21:14:17.931Z
"However, unlike Lee",Однако в отличие от Ли (2020),"«Однако, в отличие от Lee (2020)»; вводная конструкция для контраста; Example: However, unlike Lee (2020), our study focuses on adults",2025-12-10T03:10:53.923Z
twentIEth,20-й,,2026-03-31T19:04:20.172Z
creation / development,создание,создание; creation = production of something; Example: Web creation tools — Инструменты создания веба,2025-12-01T21:59:09.060Z
Improbable,Маловероятно,,2026-03-30T16:18:59.839Z
give back,вернуть,Please give back my book,2025-12-25T19:33:00.068Z
inspiration,вдохновение,The beautiful sunset was a source of inspiration for the painter,2026-04-02T11:49:40.222Z
half,половина,,2026-03-30T14:00:15.592Z
Indicate,указывать,,2026-03-30T00:05:43.950Z
to begin,начать,What time does the concert begin?,2025-10-14T21:51:08.591Z
column,столбец,,2026-04-26T14:17:57.379Z
localization,локализация,локализация,2025-07-02T14:42:15.071Z
pointer,указатель,указатель,2025-07-02T14:47:40.963Z
kernel,ядро (ОС),ядро (ОС),2025-07-02T14:40:33.044Z
was,Прошедшее время to be для I,Прошедшее время to be для I/he/she/it; past form of be; пример: “He was tired.”,2025-12-07T15:57:21.945Z
repetitions,повторения,повторения; …any repetitions in the same license plate. — …повторяющиеся символы на одной табличке,2025-12-17T16:04:35.389Z
well,хорошо,"хорошо; in a good way; Example: \Well executed.\"" — Хорошо выполнено; нюанс: слово-усилитель""",2025-11-23T20:32:44.076Z
evening,вечер,вечер — I study in the evening,2025-10-05T19:14:02.811Z
information,информация,информация,2025-07-02T14:39:10.938Z
prepare,"готовить, готовиться",She is preparing dinner for her friends tonight,2026-04-23T14:02:03.688Z
organ,орган,,2026-04-07T14:40:32.341Z
frame,кадр,кадр; единица передачи данных на канальном уровне; Example: The switch processes Ethernet frames,2026-03-15T18:39:52.886Z
apply,применить,You need to apply the changes to the configuration,2026-03-30T13:42:40.832Z
late,поздно,поздно — He came home late,2025-10-05T19:14:26.886Z
Lawful,Законный,,2026-03-31T17:55:37.169Z
Scotland Scottish,Шотландия Шотландский,,2025-12-14T21:56:46.589Z
by the way,кстати,"This, by the way, is called an ‘unknown unicast’ frame, a frame for which the switch",2026-03-30T16:31:59.810Z
encrypt,шифровать,шифровать,2025-07-02T14:33:18.197Z
device,устройство,устройство,2025-07-02T14:26:35.095Z
to configure,настроить,настроить How to configure Cisco IOS routers,2025-12-01T23:44:21.039Z
proper cable,правильный кабель,,2026-03-22T20:27:25.072Z
to think,думать,What did you think of the film?,2025-10-14T21:50:51.131Z
hacking,взлом,"взлом, хакерство",2025-07-02T14:37:12.033Z
yet,уже,ещё / уже — Have you finished yet?,2025-10-05T19:14:14.848Z
random,случайный,случайный,2025-07-02T14:49:35.514Z
a flat,квартира,,2026-04-09T11:18:19.470Z
beer,пиво,,2026-04-09T11:08:05.101Z
Skull,Череп,,2026-04-02T12:58:00.999Z
confrontation,конфронтация,,2026-04-02T01:25:41.177Z
string,Строка (последовательность символов). Создаётся в кавычках: x = \,"Строка (последовательность символов). Создаётся в кавычках: x = \Hello\"". Неизменяемый тип — при изменении создаётся новая строка.""",2025-11-12T16:46:18.680Z
the destination,адрес назначения,"This is known as a KNOWN UNICAST frame, because the destination is already in its MAC address",2026-03-30T16:40:06.238Z
cardboard box,Картонная коробка,,2026-03-30T22:15:24.538Z
a nail,ноготь,,2026-04-07T14:40:07.809Z
to vary,отличаться,,2026-01-22T08:47:55.756Z
suggest,"предлагать, советовать","предлагать, советовать /səˈdʒɛst/; I suggest going to the park. — Я предлагаю пойти в парк",2025-12-23T01:52:04.357Z
metropolitan area network,городская сеть,городская сеть; Example: A city network is a metropolitan area network,2026-03-15T18:45:08.591Z
an oven,духовка,,2026-04-09T11:12:14.032Z
server,сервер,сервер,2025-07-02T14:51:33.985Z
I switch the channel,Я переключаю канал,,2026-04-06T16:48:00.618Z
cheap,дёшево,,2026-04-27T15:44:16.571Z
Draft,Черновик,,2026-02-27T09:55:52.955Z
lock,блокировка,блокировка,2025-07-02T14:42:17.835Z
someone,niekto(в утвердительных),"кто-то, кто-нибудь /ˈsʌmwʌn/; Someone is calling you. — Кто-то тебе звонит",2025-12-23T01:51:59.713Z
Roof,Крыша,,2026-04-01T14:04:43.214Z
October,октябрь,,2025-07-28T17:01:22.275Z
Graeco-Roman wrestling,греко-римская борьба,"греко-римская борьба; Olympic wrestling style; Example: \He trains Greco-Roman.\"" — Он тренируется в греко-римской; нюанс: без захватов ниже пояса""",2025-11-23T20:33:08.653Z
Own,Собственный,Marlin when he saw the underwater mask he reminded about own son Nemo,2026-04-02T11:48:27.697Z
refugees,беженцы,,2026-04-18T01:01:44.323Z
usually,обычно,обычно — I usually get up at 7,2025-10-05T19:14:12.567Z
Short circuit,короткое замыкание,,2026-03-30T16:03:47.917Z
power,степень,степень (возведение в степень),2025-07-02T14:47:47.127Z
Let’s take a look,Давайте посмотрим,,2026-03-26T16:51:44.480Z
weapon,оружие,This is a weapon,2026-03-31T22:45:17.094Z
that,тот,"тот; или союз «что»; Example: I know that you are right. (Я знаю, что ты прав.) /ðæt",2025-12-07T18:15:47.729Z
month,месяц,месяц — This month is very busy,2025-10-05T19:14:36.663Z
far,далеко,,2026-04-01T14:19:31.939Z
familiar,знакомый,,2026-03-26T16:45:04.461Z
to be afraid,бояться,,2025-12-28T01:55:56.591Z
cross-platform,кроссплатформенный,кроссплатформенный; cross-platform = works on many OS; Example: Cross-platform app — Кроссплатформенное приложение,2025-12-01T21:59:08.244Z
cable,кабель,кабель; Example: Use an Ethernet cable,2026-03-15T18:41:02.318Z
dynamic,динамический,динамический,2025-07-02T14:32:40.370Z
programming language,язык программирования,язык программирования,2025-07-02T14:49:02.224Z
numeric,числовой,числовой; numeric = related to numbers; Example: Numeric value only — Только числовое значение,2025-12-01T21:59:02.137Z
Formal / Informal style,Формальный / неформальный стиль,,2026-02-27T09:55:40.766Z
to resist,противостоять,,2026-04-27T19:18:02.886Z
proper,"настоящий, правильный",,2026-04-06T21:16:58.386Z
"To confirm,",Для подтверждения,"To confirm, I used SHOW IP INTERFACE BRIEF, and you can see the IP addresses I just configured",2026-04-18T01:44:15.353Z
Decisive,"решительный, решающий",,2026-04-23T00:27:03.230Z
swollen,опухший,,2026-04-07T14:43:39.983Z
passing through the Internet,проходящий через интернет,"And youtube’s server sends the data, passing through the Internet, back to your PC",2026-03-26T16:56:17.636Z
provides,обеспечивает,Layer 3 provides logical addressing,2026-03-11T17:24:02.859Z
unfortunately,к сожалению,"к сожалению /ʌnˈfɔːrtʃənətli/; Unfortunately, I can’t come. — К сожалению, я не могу прийти",2025-12-23T01:52:04.724Z
basic familiarity with computers,базовые знания работы с компьютером,The only requirement for this course is that you have a basic familiarity with computers,2026-03-26T16:41:24.074Z
crane,кран,,2026-03-28T21:30:46.783Z
habitual,привычный,"Привычный; Language is a conventional system of habitual vocal behaviour by which members of a community communicate with one another. → Язык — это условная система привычного звукового поведения, с помощью которой члены сообщества общаются друг с другом",2025-12-13T22:18:50.372Z
addictive,вызывающий привыкание,,2026-04-27T15:43:55.116Z
package,пакет,пакет,2025-07-02T14:46:23.369Z
shower,душ,,2026-04-09T11:16:18.786Z
tomorrow,завтра,завтра — We’ll go there tomorrow,2025-10-05T19:14:09.565Z
useful,полезный,,2026-01-25T18:08:31.008Z
line,строка,строка,2025-07-02T14:41:42.226Z
He is guilty,Он виновен,,2025-12-30T05:06:13.718Z
output,вывод,вывод,2025-07-02T14:46:13.769Z
zip,архивировать (zip),архивировать (zip),2025-07-02T14:55:29.351Z
Remains,Останки,,2026-03-30T00:12:56.524Z
a toilet,туалет,,2026-04-09T11:15:45.792Z
to have,иметь,I have two sisters,2025-10-14T21:50:47.448Z
Belgium Belgian,Бельгия Бельгийский,,2025-12-14T21:53:13.645Z
pretend to pray,Притворяться молиться,Притворяться молиться; to act like you are praying; пример: “He pretended to pray.”,2025-12-07T15:57:38.732Z
solution,Решение,,2026-04-02T01:36:41.092Z
equals,равняется,Eight minus four equals four,2026-03-31T22:51:29.828Z
diagram,диаграмма,диаграмма,2025-07-02T14:26:38.642Z
a neck,шея,,2026-04-07T14:40:18.531Z
disc,диск (геом. форма),диск (геом. форма),2025-07-02T14:31:49.537Z
I want to continue,Я хочу продолжить,,2025-12-28T01:55:01.335Z
France,Франция,,2025-12-14T21:28:40.710Z
same,"тот же самый, одинаковый","тот же самый, одинаковый; …in the same license plate. — …на той же самой табличке",2025-12-17T16:04:42.109Z
because of this,«Из-за этого»,"«Из-за этого»; причинно-следственное введение; Example: Because of this, the experiment was repeated",2025-12-10T03:11:10.972Z
plate,"табличка, пластина, номерной знак","табличка, пластина, номерной знак; License plate must consist of 7 numbers… — Номерная табличка должна состоять из 7 цифр…",2025-12-17T16:03:55.876Z
license,лицензия,"лицензия, разрешение, номерной знак; Suppose a license plate must consist of 7 numbers… — Предположим, что номерная табличка…",2025-12-17T16:03:53.384Z
Nerd,ботан,,2026-02-04T14:33:54.195Z
client,клиент,клиент; client = requester of data; Example: The client sends a request — Клиент отправляет запрос,2025-12-01T21:58:35.218Z
actually,на самом деле,,2026-02-27T06:12:57.311Z
seat belt,ремень безопасности,ремень безопасности /ˈsiːt bɛlt/; Always wear a seat belt. — Всегда пристёгивай ремень,2025-12-23T01:52:05.155Z
Probably,Вероятно,"Probably 'hello', right?",2026-02-12T03:53:43.986Z
behaviour,поведение,Language is a voluntary behaviour,2025-10-01T22:33:19.007Z
Outline,План как структура,,2026-02-27T09:55:11.979Z
actually,собственно,,2025-12-28T01:58:17.575Z
tax,налог,The price is subject to tax,2025-12-25T17:51:49.878Z
journalist,Журналист,Журналист; a person who reports news; пример: “The journalist interviewed the president.”,2025-12-03T22:49:29.472Z
Syllable,слог,,2026-01-22T08:43:57.750Z
cycle,цикл,"Цикл — путь, возвращающийся в начало; a path that starts and ends at the same vertex; пример: “A→B→C→A is a cycle.”",2025-12-03T22:30:19.813Z
awards,награды,"награды, премии; She received several awards for her work. — Она получила несколько наград за свою работу",2025-12-17T16:04:44.936Z
The main thing is,Главное,,2025-12-30T05:14:23.745Z
to consist,"состоять, включать","состоять, включать; …must consist of 7 numbers or letters. — …должна состоять из 7 цифр или букв",2025-12-17T16:04:16.585Z
teamwork,(командная работа),(командная работа) Good communication makes teamwork better. — Хорошее общение улучшает командную работу,2025-10-26T15:15:10.491Z
next month,в следующем месяце,"в следующем месяце — Next month, I’ll travel",2025-10-05T19:14:39.471Z
possible,"возможный, допустимый","возможный, допустимый; It is possible to solve this problem. — Эту задачу возможно решить",2025-12-17T16:05:08.402Z
to be free,быть свободным,,2025-12-24T02:00:52.600Z
about 30 percent,примерно 30 процентов,"Разные степени формальности: about = разговорно, approximately = официально, roughly = неформально. About 30 percent of students passed the exam. — Примерно 30 процентов студентов сдали экзамен",2026-02-27T06:22:45.987Z
also,«Также»,"«Также»; простое добавление информации; Example: Also, participants reported higher satisfaction",2025-12-10T03:11:10.247Z
phoneme,Фонема,Фонема; Language consists of a small inventory of distinctive sounds (phonemes). → Язык состоит из небольшого набора различительных звуков (фонем),2025-12-13T22:19:21.421Z
Thursday,Четверг,,2025-12-14T20:38:59.699Z
Overall yes,В целом да,,2025-12-27T23:06:30.908Z
July,июль,,2025-07-28T17:01:21.475Z
family,семья,семейство; family = group of related tech; Example: TCP/IP family — Семейство TCP/IP,2025-12-01T21:59:08.874Z
bought,купил,,2025-12-25T22:54:21.387Z
almost,почти,,2025-12-31T00:59:50.652Z
Text structure,Структура текста,,2026-02-27T09:53:45.338Z
mother,мать,Мать; female parent; пример: “My mother is kind.”,2025-12-07T17:21:05.160Z
environment,среда,"окружение, среда; the conditions around something; Example: We live in a safe environment. (Мы живём в безопасной среде.) /ɪnˈvaɪrənmənt",2025-12-07T18:15:39.690Z
in how many ways,сколькими способами,сколькими способами; In how many ways can we arrange these books? — Сколькими способами мы можем расставить эти книги?,2025-12-17T14:58:05.664Z
believed,верил,,2025-12-30T05:08:27.157Z
